Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\Einsy_breakout\board\Project Outputs\Assembly\Pick and Place_Einsy Rambo_1.0a.csv

========================================================================================================================
File Design Information:

Date:       24/01/18
Time:       15:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"J22","HDR14","TopLayer","HDR2x7_SMT_BOT_ENTRY_EX","10.1950","8.8464","90","CONN RCPT DUAL ENTRY 14POS .100"","10.1950","8.8464"
"J20","HDR14","TopLayer","HDR2x7_SMT_BOT_ENTRY_EX","24.2000","8.8464","90","CONN RCPT DUAL ENTRY 14POS .100"","24.2000","8.8464"
"J19","HDR14","TopLayer","HDR2x7_SMT_BOT_ENTRY_EX","24.2050","26.6264","90","CONN RCPT DUAL ENTRY 14POS .100"","24.2050","26.6264"
"J18","HDR14","TopLayer","HDR2x7_SMT_BOT_ENTRY_EX","24.2050","62.1864","90","CONN RCPT DUAL ENTRY 14POS .100"","24.2050","62.1864"
"J17","HDR14","TopLayer","HDR2x7_SMT_BOT_ENTRY_EX","24.2050","44.4064","90","CONN RCPT DUAL ENTRY 14POS .100"","24.2050","44.4064"
"D2","SMAJ28A","TopLayer","SMA-SM","106.8695","3.6532","180","TVS DIODE 28VWM 45.4VC SMA","106.8728","3.6532"
"C85","100nF","TopLayer","C0603","128.2644","5.3340","90","CAP CER 0603 100nF 50V 10% X7R","128.2644","5.3340"
"C84","100nF","TopLayer","C0603","128.2644","8.3312","270","CAP CER 0603 100nF 50V 10% X7R","128.2644","8.3312"
"FB1","BLM41PG600SN1L","TopLayer","L1806","126.3848","6.5786","270","FERRITE BEAD 1806 60ohm","126.3848","6.5786"
"C3","100nF","TopLayer","C0603","126.3086","2.9972","360","CAP CER 0603 100nF 50V 10% X7R","126.3086","2.9972"
"F1","3557-2","TopLayer","3557","121.1778","10.3124","270","FUSE PTH ATO","121.1778","10.3124"
"RV6","120R","TopLayer","R0402","94.4837","51.5874","360","FERRITE BEAD 120 OHM 0402 1LN","94.4824","51.5874"
"RV4","120R","TopLayer","R0402","85.3117","31.0896","180","FERRITE BEAD 120 OHM 0402 1LN","85.3130","31.0896"
"RV18","120R","TopLayer","R0402","70.8363","51.8668","360","FERRITE BEAD 120 OHM 0402 1LN","70.8350","51.8668"
"FB20","120R","TopLayer","FB0603","84.5764","11.5824","180","FERRITE BEAD 120 OHM 0603 1LN","84.5764","11.5824"
"FB19","120R","TopLayer","FB0603","85.4908","7.2136","270","FERRITE BEAD 120 OHM 0603 1LN","85.4908","7.2136"
"FB18","120R","TopLayer","FB0603","90.2406","7.6962","360","FERRITE BEAD 120 OHM 0603 1LN","90.2406","7.6962"
"FB17","120R","TopLayer","FB0603","94.1522","8.7630","270","FERRITE BEAD 120 OHM 0603 1LN","94.1522","8.7630"
"FB16","120R","TopLayer","FB0603","68.9110","6.8644","360","FERRITE BEAD 120 OHM 0603 1LN","68.9110","6.8644"
"FB15","120R","TopLayer","FB0603","72.9432","13.6652","360","FERRITE BEAD 120 OHM 0603 1LN","72.9432","13.6652"
"FB14","120R","TopLayer","FB0603","76.4230","13.6652","360","FERRITE BEAD 120 OHM 0603 1LN","76.4230","13.6652"
"FB13","120R","TopLayer","FB0603","79.1916","13.6652","360","FERRITE BEAD 120 OHM 0603 1LN","79.1916","13.6652"
"FB12","120R","TopLayer","FB0603","55.3474","6.7374","360","FERRITE BEAD 120 OHM 0603 1LN","55.3474","6.7374"
"FB11","120R","TopLayer","FB0603","56.0332","9.4806","270","FERRITE BEAD 120 OHM 0603 1LN","56.0332","9.4806"
"FB10","120R","TopLayer","FB0603","59.9448","7.9820","360","FERRITE BEAD 120 OHM 0603 1LN","59.9448","7.9820"
"FB9","120R","TopLayer","FB0603","62.9420","7.9820","180","FERRITE BEAD 120 OHM 0603 1LN","62.9420","7.9820"
"FB8","120R","TopLayer","FB0603","45.2890","7.3724","270","FERRITE BEAD 120 OHM 0603 1LN","45.2890","7.3724"
"FB7","120R","TopLayer","FB0603","47.3972","7.3724","270","FERRITE BEAD 120 OHM 0603 1LN","47.3972","7.3724"
"FB6","120R","TopLayer","FB0603","49.8102","7.3678","270","FERRITE BEAD 120 OHM 0603 1LN","49.8102","7.3678"
"FB22","120R","TopLayer","FB0603","52.4010","6.7628","360","FERRITE BEAD 120 OHM 0603 1LN","52.4010","6.7628"
"R78","10K","TopLayer","R0402","87.4225","36.9190","360","RES SMD 10K OHM 1% 1/16W 0402","87.4212","36.9190"
"R77","10K","TopLayer","R0402","76.1246","25.2019","270","RES SMD 10K OHM 1% 1/16W 0402","76.1246","25.2032"
"R54","10K","TopLayer","R0402","53.7987","27.9250","180","RES SMD 10K OHM 1% 1/16W 0402","53.8000","27.9250"
"R52","10K","TopLayer","R0402","42.4709","28.0226","360","RES SMD 10K OHM 1% 1/16W 0402","42.4696","28.0226"
"R45","1K","TopLayer","R0402","106.1918","55.2057","270","RES SMD 1K OHM 1% 1/16W 0402","106.1918","55.2070"
"J16","CONN 2PIN VERT 0.1" SHRD LOCKING","TopLayer","70543-02","127.0960","65.8368","270","Connector 2pos","127.0960","65.8368"
"J7","CONN 2PIN VERT 0.1" SHRD LOCKING","TopLayer","70543-02","48.6672","59.8742","0","Connector 2pos","48.6672","59.8742"
"U8","74LVC2G08","TopLayer","VSSOP8","88.5960","48.9268","180","IC GATE AND 2CH 2-INP 8-VSSOP","88.5960","48.9268"
"C83","100nF","TopLayer","C0402","85.3258","47.3964","180","CAP CER 0402 100nF 16V 10% X7R","85.3258","47.3964"
"R61","10K","TopLayer","R0402","106.0204","68.7147","90","RES SMD 10K OHM 1% 1/16W 0402","106.0204","68.7134"
"R51","10K","TopLayer","R0402","107.0364","68.7147","90","RES SMD 10K OHM 1% 1/16W 0402","107.0364","68.7134"
"FB4","120R","TopLayer","FB0603","86.9132","30.6578","270","FERRITE BEAD 120 OHM 0603 1LN","86.9132","30.6578"
"D12","BAT54","TopLayer","SOD523_IPC","90.6216","39.1668","360","Diode Schottky 30V 100mA Surface Mount SOD-523","90.6216","39.1668"
"R44","1K","TopLayer","R0402","108.9845","32.1056","180","RES SMD 1K OHM 1% 1/16W 0402","108.9858","32.1056"
